"doi","publication_date","title","journal","issn","publisher","member_id"
"10.1016/j.rcae.2013.04.001","2013-04","Scientific writing, a neglected aspect of professional training","Colombian Journal of Anesthesiology","2256-2087","Elsevier BV",78
"10.1016/j.mnl.2012.09.014","2013-02","The Art of Nursing Leadership","Nurse Leader","1541-4612","Elsevier BV",78
"10.1007/s11738-013-1242-9","2013-03-05","Morphological, physiological, cytological and phytochemical studies in diploid and colchicine-induced tetraploid plants of Echinaceaü¾¼purpurea (L.)","Acta Physiologiae Plantarum","0137-5881","Springer Science + Business Media",297
"10.1016/j.ajhg.2013.07.008","2013-09","Diversity of Lactase Persistence Alleles in Ethiopia: Signature of a Soft Selective Sweep","The American Journal of Human Genetics","0002-9297","Elsevier BV",78
"10.1111/jpet.12025","2013-03-14","A Coordination Game Model of Charitable Giving and Seed Money Effect","Journal of Public Economic Theory","1097-3923","Wiley-Blackwell",311
"10.3103/s002713141305009x","2013-09","Pharmacokinetic study of original and generic levofloxacin tablets","Moscow University Chemistry Bulletin","0027-1314","Allerton Press",1627
"10.1371/journal.pone.0073279","2013-09-02","Pivotal Role of Matrix Metalloproteinase 13 in Extracellular Matrix Turnover in Idiopathic Pulmonary Fibrosis","PLoS ONE","1932-6203","Public Library of Science (PLoS)",340
"10.1088/0031-9155/58/16/5803","2013-08-06","Improving abdomen tumor low-dose CT images using a fast dictionary learning based processing","Physics in Medicine and Biology","0031-9155","IOP Publishing",266
"10.4028/www.scientific.net/amr.749.362","2013-08","Analysis of Genetic Subtypes and Distribution of Hantavirus in Jilin Area","AMR","1662-8985","Trans Tech Publications",2457
"10.1111/tpj.12241","2013-06-07"," The role of lipid metabolism in the acquisition of desiccation tolerance in Craterostigma plantagineum : a comparative approach ","The Plant Journal","0960-7412","Wiley-Blackwell",311
"10.2175/193864713813504223","2013-01-01","Clean as a Whistle: Evaluation of Brick Sewers and Siphons","proc water environ fed","1938-6478","Water Environment Federation",970
"10.1016/j.fertnstert.2013.07.1912","2013-09","Use of an in vitro mouse macrophage model to detect the adhesion forming potential of materials used in pelvic surgery","Fertility and Sterility","0015-0282","Elsevier BV",78
"10.1007/s40278-013-1403-z","2013-02","Insulin overdose","Reactions Weekly","0114-9954","Springer Science + Business Media",297
"10.1108/02580541311311302","2013-03-15","Turning crisis into opportunity","Strategic Direction","0258-0543","Emerald",140
"10.1111/geb.12100","2013-08-11","Integrated assessment models for ecologists: the present and the future","Global Ecology and Biogeography","1466-822X","Wiley-Blackwell",311
